2018-02-25 17:52:31.568800: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:31.748762: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 10.19GiB
2018-02-25 17:52:31.929018: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.06GiB
2018-02-25 17:52:31.929188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-25 17:52:31.929228: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-25 17:52:31.929243: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-25 17:52:31.929251: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-25 17:52:31.929264: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-25 17:52:31.929274: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 111000	logppl: 7.139	valid ppl: 1055.089	test ppl: 1024.384
iter: 112000	logppl: 6.640	valid ppl: 1055.449	test ppl: 1027.532
iter: 113000	logppl: 6.429	valid ppl: 1077.082	test ppl: 1042.560
iter: 114000	logppl: 7.043	valid ppl: 1085.062	test ppl: 1059.709
iter: 115000	logppl: 6.633	valid ppl: 1079.693	test ppl: 1047.777
iter: 116000	logppl: 7.107	valid ppl: 1075.043	test ppl: 1035.269
iter: 117000	logppl: 7.119	valid ppl: 1060.410	test ppl: 1026.290
iter: 118000	logppl: 7.337	valid ppl: 1062.820	test ppl: 1028.481
iter: 119000	logppl: 6.899	valid ppl: 1058.776	test ppl: 1027.047
iter: 120000	logppl: 6.725	valid ppl: 1071.172	test ppl: 1036.954
iter: 121000	logppl: 6.339	valid ppl: 1064.254	test ppl: 1035.821
iter: 122000	logppl: 6.419	valid ppl: 1059.775	test ppl: 1027.215
iter: 123000	logppl: 4.778	valid ppl: 1094.633	test ppl: 1062.368
iter: 124000	logppl: 7.142	valid ppl: 1068.054	test ppl: 1035.262
iter: 125000	logppl: 6.585	valid ppl: 1076.790	test ppl: 1039.158
iter: 126000	logppl: 3.790	valid ppl: 1074.069	test ppl: 1031.302
iter: 127000	logppl: 7.648	valid ppl: 1070.496	test ppl: 1035.265
iter: 128000	logppl: 7.101	valid ppl: 1075.343	test ppl: 1036.716
iter: 129000	logppl: 6.944	valid ppl: 1074.856	test ppl: 1046.410
iter: 130000	logppl: 6.276	valid ppl: 1068.826	test ppl: 1037.255
iter: 131000	logppl: 6.347	valid ppl: 1065.766	test ppl: 1036.571
iter: 132000	logppl: 6.771	valid ppl: 1119.794	test ppl: 1085.858
iter: 133000	logppl: 7.040	valid ppl: 1085.219	test ppl: 1057.462
iter: 134000	logppl: 6.780	valid ppl: 1099.543	test ppl: 1059.434
iter: 135000	logppl: 7.229	valid ppl: 1085.846	test ppl: 1043.840
iter: 136000	logppl: 7.124	valid ppl: 1085.404	test ppl: 1052.406
iter: 137000	logppl: 6.390	valid ppl: 1080.682	test ppl: 1044.770
iter: 138000	logppl: 6.557	valid ppl: 1076.456	test ppl: 1041.542
iter: 139000	logppl: 7.227	valid ppl: 1075.507	test ppl: 1043.091
iter: 140000	logppl: 7.005	valid ppl: 1071.786	test ppl: 1041.071
iter: 141000	logppl: 6.830	valid ppl: 1106.467	test ppl: 1074.538
iter: 142000	logppl: 6.351	valid ppl: 1114.768	test ppl: 1083.311
iter: 143000	logppl: 6.468	valid ppl: 1095.187	test ppl: 1055.240
iter: 144000	logppl: 6.035	valid ppl: 1100.885	test ppl: 1054.281
iter: 145000	logppl: 6.932	valid ppl: 1088.695	test ppl: 1048.766
