2018-02-25 17:52:30.983542: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:31.165897: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.40GiB
2018-02-25 17:52:31.165939: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 97000	loss: 6.528	valid ppl: 1449.230	test ppl: 1369.711
iter: 98000	loss: 7.170	valid ppl: 1388.021	test ppl: 1355.177
iter: 99000	loss: 6.825	valid ppl: 1475.394	test ppl: 1385.663
iter: 100000	loss: 6.584	valid ppl: 1465.611	test ppl: 1382.922
iter: 101000	loss: 6.673	valid ppl: 1471.551	test ppl: 1377.754
iter: 102000	loss: 7.716	valid ppl: 1451.503	test ppl: 1372.957
iter: 103000	loss: 7.419	valid ppl: 1453.726	test ppl: 1371.146
iter: 104000	loss: 6.900	valid ppl: 1411.139	test ppl: 1343.224
iter: 105000	loss: 6.069	valid ppl: 1452.844	test ppl: 1380.666
iter: 106000	loss: 7.734	valid ppl: 1554.825	test ppl: 1474.734
iter: 107000	loss: 7.880	valid ppl: 1435.758	test ppl: 1331.946
iter: 108000	loss: 7.492	valid ppl: 1455.676	test ppl: 1372.246
iter: 109000	loss: 7.015	valid ppl: 1451.001	test ppl: 1411.503
iter: 110000	loss: 4.872	valid ppl: 1430.622	test ppl: 1389.293
iter: 111000	loss: 6.922	valid ppl: 1383.449	test ppl: 1351.305
iter: 112000	loss: 7.235	valid ppl: 1534.791	test ppl: 1503.295
iter: 113000	loss: 7.051	valid ppl: 1413.038	test ppl: 1386.291
iter: 114000	loss: 6.937	valid ppl: 1426.624	test ppl: 1391.842
iter: 115000	loss: 7.086	valid ppl: 1557.283	test ppl: 1484.028
iter: 116000	loss: 6.692	valid ppl: 1431.223	test ppl: 1362.936
iter: 117000	loss: 8.491	valid ppl: 1439.943	test ppl: 1370.925
iter: 118000	loss: 8.281	valid ppl: 1498.041	test ppl: 1449.910
iter: 119000	loss: 7.812	valid ppl: 1482.287	test ppl: 1388.430
iter: 120000	loss: 7.174	valid ppl: 1488.046	test ppl: 1382.310
iter: 121000	loss: 6.885	valid ppl: 1516.511	test ppl: 1369.463
iter: 122000	loss: 6.731	valid ppl: 1598.883	test ppl: 1485.986
iter: 123000	loss: 7.888	valid ppl: 1503.693	test ppl: 1412.967
iter: 124000	loss: 7.371	valid ppl: 1524.820	test ppl: 1387.104
iter: 125000	loss: 7.180	valid ppl: 1504.162	test ppl: 1420.398
iter: 126000	loss: 7.325	valid ppl: 1696.086	test ppl: 1612.090
iter: 127000	loss: 7.114	valid ppl: 1548.309	test ppl: 1438.777
iter: 128000	loss: 7.994	valid ppl: 1478.603	test ppl: 1372.315
iter: 129000	loss: 7.058	valid ppl: 1544.870	test ppl: 1442.858
iter: 130000	loss: 7.423	valid ppl: 1552.407	test ppl: 1424.977
iter: 131000	loss: 7.945	valid ppl: 1568.017	test ppl: 1442.334
iter: 132000	loss: 5.544	valid ppl: 1560.019	test ppl: 1454.197
iter: 133000	loss: 7.069	valid ppl: 1531.476	test ppl: 1436.686
iter: 134000	loss: 6.738	valid ppl: 1584.013	test ppl: 1510.052
iter: 135000	loss: 7.946	valid ppl: 1449.330	test ppl: 1390.148
iter: 136000	loss: 7.975	valid ppl: 1591.625	test ppl: 1488.035
iter: 137000	loss: 7.521	valid ppl: 1509.037	test ppl: 1433.191
iter: 138000	loss: 4.583	valid ppl: 1504.337	test ppl: 1415.642
iter: 139000	loss: 6.956	valid ppl: 1564.712	test ppl: 1484.745
iter: 140000	loss: 6.766	valid ppl: 1523.948	test ppl: 1429.575
iter: 141000	loss: 7.848	valid ppl: 1482.123	test ppl: 1403.829
iter: 142000	loss: 6.694	valid ppl: 1556.479	test ppl: 1453.304
iter: 143000	loss: 7.074	valid ppl: 1714.377	test ppl: 1583.595
iter: 144000	loss: 6.814	valid ppl: 1564.820	test ppl: 1456.353
iter: 145000	loss: 6.990	valid ppl: 1557.481	test ppl: 1420.570
iter: 146000	loss: 8.690	valid ppl: 1529.531	test ppl: 1453.843
iter: 147000	loss: 7.625	valid ppl: 1439.283	test ppl: 1374.966
iter: 148000	loss: 7.550	valid ppl: 1491.731	test ppl: 1403.633
iter: 149000	loss: 7.464	valid ppl: 1473.940	test ppl: 1430.504
iter: 150000	loss: 7.735	valid ppl: 1632.949	test ppl: 1576.480
iter: 151000	loss: 6.865	valid ppl: 1620.602	test ppl: 1567.363
iter: 152000	loss: 7.538	valid ppl: 1589.967	test ppl: 1514.787
iter: 153000	loss: 7.711	valid ppl: 1549.007	test ppl: 1451.067
iter: 154000	loss: 6.873	valid ppl: 1516.350	test ppl: 1431.017
iter: 155000	loss: 6.857	valid ppl: 1579.403	test ppl: 1510.056
iter: 156000	loss: 6.464	valid ppl: 1568.480	test ppl: 1484.611
iter: 157000	loss: 8.480	valid ppl: 1523.583	test ppl: 1411.765
iter: 158000	loss: 6.045	valid ppl: 1565.076	test ppl: 1438.615
iter: 159000	loss: 8.701	valid ppl: 1671.597	test ppl: 1525.952
iter: 160000	loss: 7.168	valid ppl: 1648.558	test ppl: 1512.986
iter: 161000	loss: 6.008	valid ppl: 1585.421	test ppl: 1454.390
iter: 162000	loss: 8.403	valid ppl: 1654.386	test ppl: 1522.339
iter: 163000	loss: 7.969	valid ppl: 1715.921	test ppl: 1564.379
iter: 164000	loss: 7.155	valid ppl: 1610.327	test ppl: 1457.271
iter: 165000	loss: 6.816	valid ppl: 1601.531	test ppl: 1464.977
iter: 166000	loss: 7.878	valid ppl: 1584.185	test ppl: 1467.225
iter: 167000	loss: 7.020	valid ppl: 1578.147	test ppl: 1415.985
iter: 168000	loss: 7.623	valid ppl: 1550.092	test ppl: 1431.800
iter: 169000	loss: 6.503	valid ppl: 1667.035	test ppl: 1528.247
iter: 170000	loss: 6.362	valid ppl: 1610.313	test ppl: 1476.004
iter: 171000	loss: 6.779	valid ppl: 1610.615	test ppl: 1495.211
iter: 172000	loss: 6.995	valid ppl: 1630.884	test ppl: 1517.653
iter: 173000	loss: 6.495	valid ppl: 1557.033	test ppl: 1472.872
iter: 174000	loss: 6.062	valid ppl: 1634.696	test ppl: 1514.790
iter: 175000	loss: 7.932	valid ppl: 1583.979	test ppl: 1478.450
iter: 176000	loss: 9.157	valid ppl: 1609.987	test ppl: 1474.565
iter: 177000	loss: 8.421	valid ppl: 1608.563	test ppl: 1510.499
iter: 178000	loss: 5.946	valid ppl: 1624.805	test ppl: 1514.521
iter: 179000	loss: 7.712	valid ppl: 1543.094	test ppl: 1449.012
iter: 180000	loss: 6.287	valid ppl: 1569.316	test ppl: 1464.549
iter: 181000	loss: 8.365	valid ppl: 1705.178	test ppl: 1601.310
iter: 182000	loss: 6.837	valid ppl: 1616.418	test ppl: 1493.637
iter: 183000	loss: 7.300	valid ppl: 1595.149	test ppl: 1475.135
iter: 184000	loss: 7.207	valid ppl: 1570.177	test ppl: 1490.964
iter: 185000	loss: 7.698	valid ppl: 1526.971	test ppl: 1455.677
iter: 186000	loss: 9.033	valid ppl: 1513.458	test ppl: 1455.502
iter: 187000	loss: 8.141	valid ppl: 1541.842	test ppl: 1455.178
